1308 Compositions 

alloy     Elastic Modulus, GPa
===============================
Co60Zn40 46.6755881370923
Zn60Co40 45.7340360692892
Zn80Co20 44.9697081671509
Cr80Zn20 62.4818479475844
Cr60Zn40 61.1831826347949
Zn60Cr40 60.1849440640372
Zn80Cr20 59.4600989379866
Nb80Zn20 82.2777100399172
Nb60Zn40 81.1906953484474
Zn60Nb40 80.321453722186
Zn80Nb20 79.6570627157112
Pd80Zn20 45.1752902310054
Pd60Zn40 44.3976645309503
Zn60Pd40 43.8575040556581
Zn80Pd20 43.5293430649903
Sn80Zr20 106.051953135053
Sn60Zr40 104.684161314354
Zr60Sn40 103.519757587394
Zr80Sn20 102.538440575069
P80Zr20 137.94455800564
P60Zr40 134.482018384371
Zr60P40 131.378894304308
Zr80P20 128.583670263903
Ta80Zr20 114.265421875234
Ta60Zr40 112.830751272927
Zr60Ta40 111.498712989791
Zr80Ta20 110.28221982408
Pd80Zr20 99.6680839007228
Pd60Zr40 98.7495480007699
Zr60Pd40 97.9794363367195
Zr80Pd20 97.3457962608774
Au80Zr20 106.890099802111
Au60Zr40 104.811252270879
Zr60Au40 102.969166929482
Zr80Au20 101.370723934865
Al80Nb20 137.742312089981
Al60Nb40 134.987085766996
Nb60Al40 132.443075640033
Nb80Al20 130.116006468468
Be80Nb20 159.921160534316
Be60Nb40 155.244359694929
Nb60Be40 150.969382644814
Nb80Be20 147.061595667366
Si80Nb20 116.795707623846
Si60Nb40 115.163502886038
Nb60Si40 113.686982421851
Nb80Si20 112.346574491402
Zn80Nb20 157.794630979618
Zn60Nb40 154.168964360335
Nb60Zn40 150.449924415849
Nb80Zn20 146.751061549576
Zr80Nb20 174.579606855139
Zr60Nb40 169.824731653938
Nb60Zr40 165.232557401728
Nb80Zr20 160.887652659667
W80Mo20 173.939987569096
W60Mo40 172.275376193062
Mo60W40 170.326783927732
Mo80W20 168.157665081551
Sc80Mo20 101.260000833402
Sc60Mo40 100.83205131555
Mo60Sc40 100.34697670376
Mo80Sc20 99.8326494821395
Ag80Mo20 121.557081108858
Ag60Mo40 120.254787023107
Mo60Ag40 118.974042615209
Mo80Ag20 117.753894906189
Ca80Mo20 94.3230990174112
Ca60Mo40 93.8622367628311
Mo60Ca40 93.4395483935889
Mo80Ca20 93.0648417857608
Be80Mo20 211.529907376468
Be60Mo40 205.707437615303
Mo60Be40 199.964975735428
Mo80Be20 194.368308923661
W80Pd20 182.841865750741
W60Pd40 179.455590925632
Pd60W40 175.554298107781
Pd80W20 171.375211968561
Zr80Pd20 85.1188495558374
Zr60Pd40 84.7289021633661
Pd60Zr40 84.4947528056715
Pd80Zr20 84.3925587688634
Ta80Pd20 108.133554523164
Ta60Pd40 107.177044732773
Pd60Ta40 106.224760256382
Pd80Ta20 105.32406678235
B80Pd20 159.661048031419
B60Pd40 157.937967855785
Pd60B40 156.23484103759
Pd80B20 154.512169456646
Be80Pd20 70.783465420682
Be60Pd40 70.0168119906676
Pd60Be40 69.4387904894286
Pd80Be20 69.0563767321874
Cu80Ag20 85.5582740035871
Cu60Ag40 85.3167763438317
Ag60Cu40 85.2029947657211
Ag80Cu20 85.1979369618721
Ta80Ag20 89.984764593854
Ta60Ag40 89.5701009836107
Ag60Ta40 89.2849275576804
Ag80Ta20 89.1107566019014
Mg80Ag20 73.7635404932392
Mg60Ag40 72.7127172373073
Ag60Mg40 71.9875325948692
Ag80Mg20 71.5554089960276
Ca80Ag20 66.4462626859903
Ca60Ag40 66.5861149309449
Ag60Ca40 66.8636168456906
Ag80Ca20 67.2618269875008
W80Ag20 92.1885088324208
W60Ag40 91.0652173343737
Ag60W40 89.8317739154887
Ag80W20 88.6056494432809
Nb80Sn20 50.073806772841
Nb60Sn40 50.4829613290315
Sn60Nb40 50.9862598946865
Sn80Nb20 51.5798161099305
Mo80Sn20 43.8805174229599
Mo60Sn40 44.0148387090556
Sn60Mo40 44.3003790289833
Sn80Mo20 44.7375903963202
Ag80Sn20 41.7047091379879
Ag60Sn40 41.6192555302876
Sn60Ag40 41.6266878802339
Sn80Ag20 41.7291934531131
Al80Sn20 25.0250708849007
Al60Sn40 24.9684976123243
Sn60Al40 24.9614986688176
Sn80Al20 25.0083141059724
B80Sn20 59.7648602874348
B60Sn40 59.6242465584326
Sn60B40 59.7016552904981
Sn80B20 59.9718222381032
P80La20 45.3001725902248
P60La40 44.942898450847
La60P40 44.7413573660751
La80P20 44.6886620134783
Be80La20 41.7691816029627
Be60La40 41.8705182715637
